ID,Issue_name,Contents,Contentes(Spec),관련 산업,산업 이유,Start_date,Fin_date,근거자료
PN_001,미국 정권 교체와 초대형 부양책 발표,바이든 행정부 출범과 함께 초대형 재정 부양책 및 증세 추진이 시장 기대와 긴장을 동시에 자극,"2021년 1월, 바이든 대통령의 취임과 함께 미국은 1.9조 달러 규모의 코로나 구제법안과 추가로 2.7조 달러에 이르는 인프라 투자 법안(미국 일자리 계획)을 발표했다. 이는 경기 회복 기대를 자극하며 글로벌 주식시장, 특히 원자재, 인프라, 친환경 정책 관련 주식에 긍정적 영향을 미쳤다. 반면, 법인세 인상 및 금융 규제 강화 가능성도 거론되며 일부 대형 기술주에는 부담으로 작용했다. 국내 시장에서도 글로벌 유동성 확대와 재정정책에 대한 기대감이 반영되어 증시 상승을 견인했다.","건설, 화학, 금속","대규모 인프라 투자는 철강, 시멘트, 건설 장비 등 기초소재 산업의 수요를 자극하며 관련 기업들의 수익 증가로 이어질 수 있다. 또한, 바이든 정부의 친환경 정책(신재생에너지, 탄소중립 등)은 전기차, 태양광, 수소 등 에너지 전환 산업에 대한 직접적인 투자 확대와 함께 세제 혜택 등 제도적 지원으로 이어졌고, 이는 친환경 관련 기업들의 중장기적인 성장 기대를 높였다.",Jan-21,Mar-21,온국민투자가이드 1월 / KRX 증시 브리프
PN_002,글로벌 금리 상승과 기술주 조정,미국 국채금리 급등에 따라 성장주 중심의 고평가 기업들이 큰 폭 조정,"2021년 1분기 말부터 미국 10년물 국채 금리가 가파르게 상승하며 1.7%를 돌파하자, 주식시장에서는 고평가된 성장주 위주로 큰 조정이 나타났다. 이는 연준이 테이퍼링(자산매입 축소) 가능성을 시사하며 향후 금리 인상 시점이 예상보다 앞당겨질 수 있다는 해석으로 이어졌기 때문이다. 투자자들은 미래 이익에 대한 기대가 높은 기업들의 주가가 금리 상승 시 할인율 부담으로 하락할 수 있다는 점에서, 기술주 및 바이오, 플랫폼 기업에서 대형 자금 이탈이 발생했다.","IT 서비스, 제약","기술주나 바이오 기업은 현재 수익보다는 미래 수익성에 대한 기대감으로 밸류에이션을 받는 경우가 많기 때문에, 금리 상승 시 현금흐름 할인율이 높아지면 이들의 주가 매력이 급격히 낮아진다. 이는 특히 고PER(주가수익비율) 종목군에 직접적인 부담으로 작용하여 투자심리 위축과 매도세를 유발했다.",Feb-21,Mar-21,금융안정보고서(2021년 6월)
PN_003,탄소중립 및 신재생에너지 정책 확대,국내외 정부가 2050 탄소중립 목표와 함께 신재생에너지 및 친환경 산업 육성을 본격화하면서 관련 산업에 대한 투자 심리가 급격히 고조됨,"2021년 한국 정부는 '2050 탄소중립' 선언에 이어 구체적인 이행 로드맵을 발표하면서, 에너지·제조업 전반의 구조개편이 요구되었다. 또한 NDC(국가온실가스감축목표)를 2030년까지 40%로 상향하겠다고 발표하며 친환경 산업에 대한 정책적 지원과 규제가 동시에 강화되었다. 국제적으로는 유럽의 탄소국경세, 미국의 친환경 인프라 투자계획 등 글로벌 트렌드가 ESG와 클린에너지 중심으로 재편되며, 국내외 시장 모두 친환경 테마에 주목하였다.","전기전자, 화학, 운송장비·부품","이산화탄소 배출 감축의 주요 수단인 신재생에너지 확대, 내연기관 차량 축소, 스마트그리드 확산 등의 흐름이 전기차, 태양광, 수소 등 산업군에 직접적인 수혜로 작용한다. 2차전지는 전기차 보급 확대의 핵심 부품으로, 국내 배터리 3사는 글로벌 공급망의 중심으로 평가받으며 투자자들의 관심을 끌었다.",Apr-21,Aug-21,탄소중립위원회 보고서 / 경제전망보고서 8월
PN_004,코로나19 재확산과 델타·오미크론 등장,"변이 바이러스 출현으로 리오프닝 기대가 약화되며 관련 산업에 큰 타격, 반면 비대면 산업은 반사이익을 얻음","2021년 7월 이후 인도발 델타 변이 확산, 11월 남아공발 오미크론 변이가 등장하며 팬데믹이 다시 확산세로 전환되었다. 각국 정부는 일시적 규제 완화를 중단하고 방역 강화를 다시 시작했다. 이에 따라 여행·항공, 오프라인 소비업종의 회복 기대가 꺾였고, 반면 진단키트, 원격의료, 온라인교육, 플랫폼 기반의 비대면 서비스는 재조명되었다.","운송·창고, 의료·정밀기기, 오락·문화, IT 서비스","코로나 확산은 국경 봉쇄와 이동 제한 조치로 이어져 여행 및 항공업종의 매출 회복을 지연시킨다. 반면, 코로나 검사 수요의 급증은 진단키트 기업의 실적에 호재로 작용했고, 원격의료, 온라인 교육, OTT 콘텐츠 산업은 재택 기반의 비대면 환경 확대에 따라 주가가 재차 상승하는 흐름을 보였다.",Jul-21,Dec-21,질병청 보도자료 / KRX 마켓지 146호
PN_005,공매도 재개 및 유동성 환경 변화,국내 공매도 재개와 미국의 긴축 전환 시그널이 시장의 불확실성과 성장주 조정으로 이어짐,5월 3일부터 약 14개월 만에 공매도가 부분 재개되며 코스피200·코스닥150 종목에서 매도세가 집중되었다. 특히 고평가된 성장주 및 바이오 종목 중심으로 타격이 컸다. 동시에 미국 연준이 테이퍼링을 공식 언급하며 글로벌 유동성 축소 우려가 증폭되었다. 이는 시장 전반의 리스크 회피 심리를 강화시켜 주가 변동성이 커졌다.,"전기전자, 제약","공매도는 투자심리 위축 요인으로 작용하며, 특히 변동성이 크고 실적 불확실성이 높은 성장주에 부정적이다. 바이오·기술주는 실적보다는 미래 성장에 대한 기대감으로 거래되는 특성상, 공매도 및 금리 인상 기대가 동시에 작용할 경우 주가에 이중 타격을 받게 된다.",Jul-21,Dec-21,온국민투자가이드 5월 / 연준 의사록 요약
PN_006,한국 기준금리 인상 개시,한은이 선제적으로 기준금리를 인상하면서 통화정책 전환기의 신호탄을 쏨,"한국은행은 2021년 8월, 15개월 만에 기준금리를 기존 0.5%에서 0.75%로 인상하며 주요국 중 선제적으로 금리정상화에 착수하였다. 이는 과열된 가계부채, 주택가격 급등, 물가 상승에 대한 대응 차원이며, 이후 11월에도 추가 인상을 단행해 연 1.0%까지 상향했다. 통화긴축은 채권금리 상승, 유동성 축소를 의미하며, 금리 민감 업종에 직접적인 영향을 미쳤다.","증권, 보험, 건설, 일반서비스","금리 인상은 은행의 예대마진 확대에 긍정적 영향을 주며 보험사의 이자수익 기반 개선으로 작용한다. 반면, 대출 의존도가 높은 건설·부동산, 고정비 부담이 큰 소비재 산업은 대출금리 상승에 따른 비용 증가와 수요 위축 우려로 부정적 영향을 받는다.",Aug-21,Nov-21,"한국은행 기준금리 발표 / 온국민투자가이드 8월, 11월"
PN_007,글로벌 공급망 병목과 에너지 대란,"전 세계 물류, 부품, 에너지의 병목 현상으로 제조업 전반에 생산 차질과 원가 부담이 확대됨","2021년 하반기, 코로나19의 영향으로 촉발된 글로벌 물류 대란과 반도체·부품 부족, 중국 전력난, 유럽 천연가스 가격 급등 등이 겹치며 전 산업에 공급 충격이 발생하였다. 미국 LA항만 적체, 한국 조선·자동차업의 부품 수급 불균형, 유럽 산업용 전기요금 폭등 등이 기업의 실적과 주가에 큰 영향을 끼쳤다.","전기전자, 운송장비·부품, 금속, 운송·창고","반도체 공급 부족은 완성차, 가전, 스마트폰 등 주요 제조업의 생산 차질로 이어졌고, 해운 운임 상승은 물류비용 증가로 연결되었다. 에너지 가격 급등은 철강, 화학 등 원가 부담 산업의 수익성에 타격을 주며, 투자자들은 공급망 회복이 불확실한 기업을 중심으로 회피 심리를 보였다.",Jul-21,Dec-21,온국민투자가이드 10~11월 / Bloomberg 데이터
PN_008,중국 헝다그룹 디폴트 위기,중국 최대 부동산 기업의 유동성 위기로 신흥국 금융시장에 위기감이 전파됨,"2021년 9월, 중국 헝다그룹의 채무불이행(디폴트) 우려가 불거지며 세계 증시가 급락했다. 총부채 규모가 약 330조 원에 이르는 헝다는 중국 부동산 경기 위축과 규제 강화의 상징이 되었으며, 이후 연쇄적인 중소형 건설사의 유동성 위기가 발생하며 시스템 리스크 우려가 확산되었다. 이는 아시아 금융시장 및 원자재 수출국에 투자심리 위축 요인으로 작용했다.","건설, 금속, 증권","중국 부동산 수요 위축은 철강, 시멘트, 가구, 가전 등 연관 산업의 매출에 부정적 영향을 주며, 금융권의 부실채권 리스크도 확대시킨다. 국내 건자재 기업과 원자재 수출 비중이 높은 기업들은 수요 둔화 및 가격 하락 우려로 주가 하락세를 보였다.",Sep-21,Nov-21,온국민투자가이드 11월 / 경제전망보고서 11월
PN_009,미국 인프라법 통과와 기술패권 경쟁 심화,"미국은 공급망 재편과 첨단산업 경쟁 강화를 위해 대규모 투자에 나섰고, 이는 글로벌 산업구조에 중장기적 영향을 끼침","2021년 11월, 미국 상원은 약 1.2조 달러 규모의 인프라 투자법(IIJA)을 통과시켰으며, 이에는 반도체, 배터리, 전기차, 신재생에너지 관련 투자도 포함되었다. 바이든 정부는 중국과의 기술패권 경쟁에서 우위를 점하기 위해 핵심 공급망의 미국 내 재구축 및 동맹국과의 협력(예: 한미 반도체 회담)을 병행하였다. 이에 따라 한국의 반도체, 배터리 산업에도 긍정적 파급 효과가 기대되었다.","전기전자, 운송장비·부품","미국의 반도체 투자 확대와 기술동맹 전략은 삼성전자, SK하이닉스 등 대형 반도체 기업에 중장기 호재로 작용했으며, 2차전지 및 전기차 기업도 북미 공급망 진입 기대감으로 강세를 보였다.",May-21,Nov-21,온국민투자가이드 6~11월 / 산업통상자원부 발표
PN_010,2022년 확장 예산과 정책주 기대감,정부의 604조 원 규모 예산 편성이 발표되며 정책 테마주가 강세를 보임,"2021년 12월, 2022년도 정부 예산안이 국회를 통과하며 총지출 604.4조 원, 총수입 548.8조 원의 확장적 재정기조가 유지되었다. 탄소중립 예산 14.3조 원, 디지털뉴딜 9.3조 원, SOC 예산 27조 원 등 산업 전환과 인프라 확장 중심으로 편성되었으며, 이에 따라 관련 테마주들이 연말에 강세를 보였다.","전기전자, 건설, IT 서비스","정부 지출 확대는 수혜 산업군의 수익성 개선과 매출 성장 기대를 높이며, 특히 정책 테마에 포함된 기업(스마트시티, 탄소 저감 기술, 디지털 전환 기술)은 투자자들의 관심을 집중시켰다.",Dec-21,Dec-21,기획재정부 예산안 발표 / 온국민투자가이드 12월
